InChIKey,SMILES,Carcinogenicity_target
VGKDLMBJGBXTGI-SJCJKPOMSA-N,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0
NDAUXUAQIAJITI-UHFFFAOYSA-N,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,1
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,CN(C)CCOC(c1ccccc1)c1ccccc1,0
WFJIVOKAWHGMBH-UHFFFAOYSA-N,CCCCCCc1ccc(O)cc1O,0
YQUVCSBJEUQKSH-UHFFFAOYSA-N,O=C(O)c1ccc(O)c(O)c1,0
IYRMWMYZSQPJKC-UHFFFAOYSA-N,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0
AFSDNFLWKVMVRB-UHFFFAOYSA-N,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,0
GVJHHUAWPYXKBD-UHFFFAOYSA-N,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0
RKUNBYITZUJHSG-PJPHBNEVSA-N,CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,0
WIIZWVCIJKGZOK-RKDXNWHRSA-N,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0
BJQHLKABXJIVAM-UHFFFAOYSA-N,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1
DJBNUMBKLMJRSA-UHFFFAOYSA-N,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,0
SMEROWZSTRWXGI-HVATVPOCSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,0
USSIQXCVUWKGNF-UHFFFAOYSA-N,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,0
JUVIOZPCNVVQFO-HBGVWJBISA-N,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0
WFWLQNSHRPWKFK-UHFFFAOYSA-N,O=c1[nH]c(=O)n(C2CCCO2)cc1F,0
ISAKRJDGNUQOIC-UHFFFAOYSA-N,O=c1cc[nH]c(=O)[nH]1,1
VIROVYVQCGLCII-UHFFFAOYSA-N,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0
CVXBEEMKQHEXEN-UHFFFAOYSA-N,CNC(=O)Oc1cccc2ccccc12,1
BMKDZUISNHGIBY-UHFFFAOYSA-N,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,1
YLQBMQCUIZJEEH-UHFFFAOYSA-N,c1ccoc1,1
ZBMZVLHSJCTVON-UHFFFAOYSA-N,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0
XWTYSIMOBUGWOL-UHFFFAOYSA-N,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,1
NFACJZMKEDPNKN-UHFFFAOYSA-N,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,0
QIVBCDIJIAJPQS-UHFFFAOYSA-N,NC(Cc1c[nH]c2ccccc12)C(=O)O,0
METKIMKYRPQLGS-UHFFFAOYSA-N,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0
MZZGOOYMKKIOOX-VKHMYHEASA-N,N#[N+]/C=C(\[O-])OC[C@H](N)C(=O)O,1
XMGQYMWWDOXHJM-JTQLQIEISA-N,C=C(C)[C@H]1CC=C(C)CC1,1
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0
DKYWVDODHFEZIM-UHFFFAOYSA-N,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0
YVGGHNCTFXOJCH-UHFFFAOYSA-N,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,1
UGJMXCAKCUNAIE-UHFFFAOYSA-N,NCC1(CC(=O)O)CCCCC1,1
FMMWHPNWAFZXNH-UHFFFAOYSA-N,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1
SOKUIEGXJHVFDV-UHFFFAOYSA-N,CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2,1
PNVJTZOFSHSLTO-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc(SC)c(C)c1,0
LVTFSVIRYMXRSR-UHFFFAOYSA-N,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,1
HWGBHCRJGXAGEU-UHFFFAOYSA-N,Cc1cc(=O)[nH]c(=S)[nH]1,1
LCCNCVORNKJIRZ-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,0
YHQDZJICGQWFHK-UHFFFAOYSA-N,O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,1
BXNANOICGRISHX-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,0
ZOJBYZNEUISWFT-UHFFFAOYSA-N,C=CCN=C=S,1
AVUYXHYHTTVPRX-UHFFFAOYSA-N,CC1CN1P(=O)(N1CC1C)N1CC1C,1
ARSRBNBHOADGJU-UHFFFAOYSA-N,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,1
ZKXDGKXYMTYWTB-UHFFFAOYSA-N,O=NN1CCOCC1,1
MCWXGJITAZMZEV-UHFFFAOYSA-N,CNC(=O)CSP(=S)(OC)OC,0
OTLNPYWUJOZPPA-UHFFFAOYSA-N,O=C(O)c1ccc([N+](=O)[O-])cc1,1
PLUBXMRUUVWRLT-UHFFFAOYSA-N,CCOS(C)(=O)=O,1
OEBRKCOSUFCWJD-UHFFFAOYSA-N,COP(=O)(OC)OC=C(Cl)Cl,1
DENRZWYUOJLTMF-UHFFFAOYSA-N,CCOS(=O)(=O)OCC,1
HNYOPLTXPVRDBG-UHFFFAOYSA-N,O=C1CC(=O)NC(=O)N1,0
KDYQVUUCWUPJGE-UHFFFAOYSA-N,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(OC)cc2)c2ccccc2)cc1,0
ZMXDDKWLCZADIW-UHFFFAOYSA-N,CN(C)C=O,0
PXSOHRWMIRDKMP-UHFFFAOYSA-N,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,1
AHJKRLASYNVKDZ-UHFFFAOYSA-N,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,0
UCNVFOCBFJOQAL-UHFFFAOYSA-N,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0
QFMDFTQOJHFVNR-UHFFFAOYSA-N,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,0
ZRMMVODKVLXCBB-UHFFFAOYSA-N,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,0
GOOHAUXETOMSMM-UHFFFAOYSA-N,CC1CO1,1
DKGAVHZHDRPRBM-UHFFFAOYSA-N,CC(C)(C)O,1
VUNCWTMEJYMOOR-UHFFFAOYSA-N,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,0
OPNPQXLQERQBBV-UHFFFAOYSA-N,CCC(Br)(CC)C(=O)NC(N)=O,0
MBDNRNMVTZADMQ-UHFFFAOYSA-N,O=S1(=O)CC=CC1,0
LQKRYVGRPXFFAV-UHFFFAOYSA-N,CCOC(=O)C1OC1(C)c1ccccc1,0
TZRXHJWUDPFEEY-UHFFFAOYSA-N,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],0
VBKKVDGJXVOLNE-UHFFFAOYSA-N,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,0
GTVWRXDRKAHEAD-UHFFFAOYSA-N,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,0
HJOVHMDZYOCNQW-UHFFFAOYSA-N,CC1=CC(=O)CC(C)(C)C1,1
AMIMRNSIRUDHCM-UHFFFAOYSA-N,CC(C)C=O,0
HRPVXLWXLXDGHG-UHFFFAOYSA-N,C=CC(N)=O,1
NIXOWILDQLNWCW-UHFFFAOYSA-N,C=CC(=O)O,0
IISBACLAFKSPIT-UHFFFAOYSA-N,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0
GPAPPPVRLPGFEQ-UHFFFAOYSA-N,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0
BQQUFAMSJAKLNB-UHFFFAOYSA-N,C1C2OC2C2C1C1CC2C2OC12,0
LKPLKUMXSAEKID-UHFFFAOYSA-N,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0
RZVHIXYEVGDQDX-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)c2ccccc21,1
FLKPEMZONWLCSK-UHFFFAOYSA-N,CCOC(=O)c1ccccc1C(=O)OCC,0
LGRFSURHDFAFJT-UHFFFAOYSA-N,O=C1OC(=O)c2ccccc21,0
CJJOSEISRRTUQB-UHFFFAOYSA-N,COP(=S)(OC)SCn1nnc2ccccc2c1=O,0
UFFBMTHBGFGIHF-UHFFFAOYSA-N,Cc1cccc(C)c1N,0
KWVPRPSXBZNOHS-UHFFFAOYSA-N,Cc1cc(C)c(N)c(C)c1,1
LINPIYWFGCPVIE-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)cc1Cl,1
YCMLQMDWSXFTIF-UHFFFAOYSA-N,Cc1ccccc1S(N)(=O)=O,1
PLAZTCDQAHEYBI-UHFFFAOYSA-N,Cc1ccccc1[N+](=O)[O-],1
BFCFYVKQTRLZHA-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1Cl,0
NAYYNDKKHOIIOD-UHFFFAOYSA-N,NC(=O)c1ccccc1C(N)=O,0
VMPITZXILSNTON-UHFFFAOYSA-N,COc1ccccc1N,1
TWBPWBPGNQWFSJ-UHFFFAOYSA-N,Nc1ccccc1-c1ccccc1,0
AJOQSQHYDOFIOX-UHFFFAOYSA-N,CCC(C(=O)NC(N)=O)c1ccccc1,0
VVBLNCFGVYUYGU-UHFFFAOYSA-N,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,1
CFBYEGUGFPZCNF-UHFFFAOYSA-N,COc1ccccc1[N+](=O)[O-],1
DECIPOUIJURFOJ-UHFFFAOYSA-N,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,0
LCGFVWKNXLRFIF-UHFFFAOYSA-N,Nc1ccc2ccccc2c1,1
LUYISICIYVKBTA-UHFFFAOYSA-N,Cc1ccc2ncccc2c1,0
GZVHEAJQGPRDLQ-UHFFFAOYSA-N,Nc1nc(N)nc(-c2ccccc2)n1,0
QZWKEPYTBWZJJA-UHFFFAOYSA-N,COc1cc(-c2ccc(N=C=O)c(OC)c2)ccc1N=C=O,1
DMVOXQPQNTYEKQ-UHFFFAOYSA-N,Nc1ccc(-c2ccccc2)cc1,1
ZYEMGPIYFIJGTP-UHFFFAOYSA-N,C=CCc1ccc(OC)c(OC)c1,1
SMYMJHWAQXWPDB-UHFFFAOYSA-N,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,0
MYEIDJPOUKASEC-UHFFFAOYSA-N,CCCc1ccc2c(c1)OCO2,1
ZMQAAUBTXCXRIC-UHFFFAOYSA-N,C=CCc1ccc2c(c1)OCO2,1
XJCLWVXTCRQIDI-UHFFFAOYSA-N,C=C(Cl)CSC(=S)N(CC)CC,1
QRUDEWIWKLJBPS-UHFFFAOYSA-N,c1ccc2n[nH]nc2c1,0
RNVCVTLRINQCPJ-UHFFFAOYSA-N,Cc1ccccc1N,1
GEYOCULIXLDCMW-UHFFFAOYSA-N,Nc1ccccc1N,1
GWHJZXXIDMPWGX-UHFFFAOYSA-N,Cc1ccc(C)c(C)c1,1
CXNVOWPRHWWCQR-UHFFFAOYSA-N,Cc1cc(Cl)ccc1N,0
OBCSAIDCZQSFQH-UHFFFAOYSA-N,Cc1cc(N)ccc1N,0
CNHDIAIOKMXOLK-UHFFFAOYSA-N,Cc1cc(O)ccc1O,0
WRZOMWDJOLIVQP-UHFFFAOYSA-N,Cc1ccc(Cl)cc1N,0
VOZKAJLKRJDJLL-UHFFFAOYSA-N,Cc1ccc(N)cc1N,1
AWMVMTVKBNGEAK-UHFFFAOYSA-N,c1ccc(C2CO2)cc1,1
WBEJYOJJBDISQU-UHFFFAOYSA-N,ClCC(Br)CBr,1
QWVCIORZLNBIIC-UHFFFAOYSA-N,OCC(Br)CBr,1
CFXQEHVMCRXUSD-UHFFFAOYSA-N,ClCC(Cl)CCl,1
SSZWWUDQMAHNAQ-UHFFFAOYSA-N,OCC(O)CCl,0
PDQAZBWRQCGBEV-UHFFFAOYSA-N,S=C1NCCN1,1
YEJRWHAVMIAJKC-UHFFFAOYSA-N,O=C1CCCO1,0
HXIQYSLFEXIOAV-UHFFFAOYSA-N,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,0
VYZAHLCBVHPDDF-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,0
PFRYFZZSECNQOL-UHFFFAOYSA-N,Cc1cc(N=Nc2ccccc2C)ccc1N,1
BBNYLDSWVXSNOQ-UHFFFAOYSA-N,O=Cc1ccco1,1
JMSUNAQVHOHLMX-UHFFFAOYSA-N,CC(O)c1ccccc1,1
LQNUZADURLCDLV-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1,1
UATJOMSPNYCXIX-UHFFFAOYSA-N,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0
RAUWPNXIALNKQM-UHFFFAOYSA-N,Nc1ccc([N+](=O)[O-])cc1N,0
VLZVIIYRNMWPSN-UHFFFAOYSA-N,Nc1cc([N+](=O)[O-])ccc1O,1
NIPDVSLAMPAWTP-UHFFFAOYSA-N,COc1ccc([N+](=O)[O-])cc1N,1
FMGUJLASXUBMOP-UHFFFAOYSA-N,CN(N=O)c1ccc(N=O)cc1,1
ZPTVNYMJQHSSEA-UHFFFAOYSA-N,Cc1ccc([N+](=O)[O-])cc1,1
CZGCEKJOLUNIFY-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(Cl)cc1,0
TYMLOMAKGOJONV-UHFFFAOYSA-N,Nc1ccc([N+](=O)[O-])cc1,0
YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CCc1ccccc1,1
HUMNYLRZRPPJDN-UHFFFAOYSA-N,O=Cc1ccccc1,0
UWSDONTXWQOZFN-UHFFFAOYSA-N,O=NN1CCCCC1,1
IMHBYKMAHXWHRP-UHFFFAOYSA-N,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,0
CWJSHJJYOPWUGX-UHFFFAOYSA-N,CC(C)OC(=O)Nc1cccc(Cl)c1,0
MWRWFPQBGSZWNV-UHFFFAOYSA-N,O=NN1CN2CN(C1)CN(N=O)C2,0
ATGUVEKSASEFFO-UHFFFAOYSA-N,Nc1ccc(Nc2ccccc2)cc1,0
JNRLEMMIVRBKJE-UHFFFAOYSA-N,CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1,1
HLBLWEWZXPIGSM-UHFFFAOYSA-N,Nc1ccc(Oc2ccc(N)cc2)cc1,1
WPYCRFCQABTEKC-UHFFFAOYSA-N,c1cc(OCC2CO2)cc(OCC2CO2)c1,1
SAOKZLXYCUGLFA-UHFFFAOYSA-N,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,0
DMLAVOWQYNRWNQ-UHFFFAOYSA-N,c1ccc(N=Nc2ccccc2)cc1,1
FULZLIGZKMKICU-UHFFFAOYSA-N,NC(=S)Nc1ccccc1,0
YIWUKEYIRIRTPP-UHFFFAOYSA-N,CCCCC(CC)CO,0
BHAAPTBBJKJZER-UHFFFAOYSA-N,COc1ccc(N)cc1,0
FLVIGYVXZHLUHP-UHFFFAOYSA-N,CCNC(=S)NCC,1
RZXMPPFPUUCRFN-UHFFFAOYSA-N,Cc1ccc(N)cc1,0
RBACIKXCRWGCBB-UHFFFAOYSA-N,CCC1CO1,1
LSWYGACWGAICNM-UHFFFAOYSA-N,C=CCOCC1CO1,0
KAKZBPTYRLMSJV-UHFFFAOYSA-N,C=CC=C,1
HGINCPLSRVDWNT-UHFFFAOYSA-N,C=CC=O,0
OSDWBNJEKMUWAV-UHFFFAOYSA-N,C=CCCl,0
NLHHRLWOUZZQLW-UHFFFAOYSA-N,C=CC#N,1
JSZOAYXJRCEYSX-UHFFFAOYSA-N,CCC[N+](=O)[O-],0
XTXRWKRVRITETP-UHFFFAOYSA-N,C=COC(C)=O,1
RINCXYDBBGOEEQ-UHFFFAOYSA-N,O=C1CCC(=O)O1,0
JJYPMNFTHPTTDI-UHFFFAOYSA-N,Cc1cccc(N)c1,0
GEQHKFFSPGPGLN-UHFFFAOYSA-N,Nc1cccc(N)c1,0
QCFYJCYNJLBDRT-UHFFFAOYSA-N,CC(CCl)OC(C)CCl,0
JDSHMPZPIAZGSV-UHFFFAOYSA-N,Nc1nc(N)nc(N)n1,1
PAFZNILMFXTMIY-UHFFFAOYSA-N,NC1CCCCC1,0
JHIVVAPYMSGYDF-UHFFFAOYSA-N,O=C1CCCCC1,0
VFWCMGCRMGJXDK-UHFFFAOYSA-N,CCCCCl,0
VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,0
NQRYJNQNLNOLGT-UHFFFAOYSA-N,C1CCNCC1,0
LVTYICIALWPMFW-UHFFFAOYSA-N,CC(O)CNCC(C)O,0
ZNSMNVMLTJELDZ-UHFFFAOYSA-N,ClCCOCCCl,0
MTHSVFCYNBDYFN-UHFFFAOYSA-N,OCCOCCO,1
WJYIASZWHGOTOU-UHFFFAOYSA-N,CCCCCCCN,0
POAOYUHQDCAZBD-UHFFFAOYSA-N,CCCCOCCO,0
ZIBGPFATKBEMQZ-UHFFFAOYSA-N,OCCOCCOCCO,0
RDYMFSUJUZBWLH-UHFFFAOYSA-N,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,0
UOAMTSKGCBMZTC-UHFFFAOYSA-N,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,0
HQUQLFOMPYWACS-UHFFFAOYSA-N,O=P(OCCCl)(OCCCl)OCCCl,1
XOGPDSATLSAZEK-UHFFFAOYSA-N,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,1
RWZYAGGXGHYGMB-UHFFFAOYSA-N,Nc1ccccc1C(=O)O,0
WHODQVWERNSQEO-UHFFFAOYSA-N,Nc1ccc(O)c([N+](=O)[O-])c1,1
KGRVJHAUYBGFFP-UHFFFAOYSA-N,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,0
ISAOCJYIOMOJEB-UHFFFAOYSA-N,O=C(c1ccccc1)C(O)c1ccccc1,0
JRBJSXQPQWSCCF-UHFFFAOYSA-N,COc1cc(-c2ccc(N)c(OC)c2)ccc1N,1
NCKMMSIFQUPKCK-UHFFFAOYSA-N,Oc1ccc(Cl)cc1Cc1ccccc1,0
WOZVHXUHUFLZGK-UHFFFAOYSA-N,COC(=O)c1ccc(C(=O)OC)cc1,0
ATTZFSUZZUNHBP-UHFFFAOYSA-N,CCCCCCCCS(=O)C(C)Cc1ccc2c(c1)OCO2,0
WXWCDTXEKCVRRO-UHFFFAOYSA-N,COc1ccc(C)cc1N,1
HFZWRUODUSTPEG-UHFFFAOYSA-N,Oc1ccc(Cl)cc1Cl,0
MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,1
SIYLLGKDQZGJHK-UHFFFAOYSA-N,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,0
MIHADVKEHAFNPG-UHFFFAOYSA-N,Nc1ncc([N+](=O)[O-])s1,1
ZTHYODDOHIVTJV-UHFFFAOYSA-N,CCCOC(=O)c1cc(O)c(O)c(O)c1,0
DOPJTDJKZNWLRB-UHFFFAOYSA-N,Nc1ccc([N+](=O)[O-])cc1O,1
SLINHMUFWFWBMU-UHFFFAOYSA-N,CC(O)CN(CC(C)O)CC(C)O,0
ODCWYMIRDDJXKW-UHFFFAOYSA-N,CCNc1nc(Cl)nc(NCC)n1,0
FQYUMYWMJTYZTK-UHFFFAOYSA-N,c1ccc(OCC2CO2)cc1,1
FAUOSXUSCVJWAY-UHFFFAOYSA-N,OC[P+](CO)(CO)CO,0
PQYJRMFWJJONBO-UHFFFAOYSA-N,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,1
STCOOQWBFONSKY-UHFFFAOYSA-N,CCCCOP(=O)(OCCCC)OCCCC,1
GYCMBHHDWRMZGG-UHFFFAOYSA-N,C=C(C)C#N,0
YYTSGNJTASLUOY-UHFFFAOYSA-N,CC(O)CCl,0
PXAJQJMDEXJWFB-UHFFFAOYSA-N,CC(C)=NO,1
ZTWQZJLUUZHJGS-UHFFFAOYSA-N,O=C1c2ccccc2-c2ccc3c4c(ccc1c24)-c1ccccc1C3=O,0
FYXKXZFTZBYYNP-UHFFFAOYSA-N,Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,1
QUDWYFHPNIMBFC-UHFFFAOYSA-N,C=CCOC(=O)c1ccccc1C(=O)OCC=C,0
OXEUETBFKVCRNP-UHFFFAOYSA-N,CCn1c2ccccc2c2cc(N)ccc21,1
LDVVMCZRFWMZSG-UHFFFAOYSA-N,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,1
HKIOYBQGHSTUDB-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,0
HSSBORCLYSCBJR-UHFFFAOYSA-N,Nc1cc(Cl)cc(C(=O)O)c1Cl,0
KEQFTVQCIQJIQW-UHFFFAOYSA-N,c1ccc(Nc2ccc3ccccc3c2)cc1,0
XIWMTQIUUWJNRP-UHFFFAOYSA-N,Nc1ccc(O)c(N)c1,0
ICNFHJVPAJKPHW-UHFFFAOYSA-N,Nc1ccc(Sc2ccc(N)cc2)cc1,1
FQSUTLQHSDLLAN-UHFFFAOYSA-N,CCNC(=O)Nc1ncc([N+](=O)[O-])s1,1
QUKGYYKBILRGFE-UHFFFAOYSA-N,CC(=O)OCc1ccccc1,0
VMMDOCYDNRLESP-UHFFFAOYSA-N,CC(=O)Nc1ccc(C(=O)CCl)cc1,0
YKFRAOGHWKADFJ-UHFFFAOYSA-N,CC(COc1ccc(C(C)(C)C)cc1)OS(=O)OCCCl,1
JIGUQPWFLRLWPJ-UHFFFAOYSA-N,C=CC(=O)OCC,1
ZEMGGZBWXRYJHK-UHFFFAOYSA-N,O=c1cc[nH]c(=S)[nH]1,1
ZNRLMGFXSPUZNR-UHFFFAOYSA-N,CC1=CC(C)(C)Nc2ccccc21,1
ZRWPUFFVAOMMNM-UHFFFAOYSA-N,O=C1C=C2C(=CCOC2O)O1,0
YXIWHUQXZSMYRE-UHFFFAOYSA-N,S=c1[nH]c2ccccc2s1,1
BMLIZLVNXIYGCK-UHFFFAOYSA-N,CN(C)C(=O)Nc1ccc(Cl)cc1,1
GGLIEWRLXDLBBF-UHFFFAOYSA-N,CCOc1ccc(NC(N)=O)cc1,1
OIJHFHYPXWSVPF-UHFFFAOYSA-N,O=Nc1ccc(Nc2ccccc2)cc1,1
AIFRHYZBTHREPW-UHFFFAOYSA-N,c1ccc2c(c1)[nH]c1cnccc12,0
NFBOHOGPQUYFRF-UHFFFAOYSA-N,c1ccc2c(c1)Oc1ccccc1O2,0
IANQTJSKSUMEQM-UHFFFAOYSA-N,c1ccc2occc2c1,1
RLBIQVVOMOPOHC-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,0
AFLXUQUGROGEFA-UHFFFAOYSA-N,C[N+]([O-])(CCCl)CCCl,1
YNEVBPNZHBAYOA-UHFFFAOYSA-N,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,0
FHIVAFMUCKRCQO-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,0
XCDXSSFOJZZGQC-UHFFFAOYSA-N,ClCCN(CCCl)c1ccc2ccccc2c1,1
WBLZUCOIBUDNBV-UHFFFAOYSA-N,O=C(O)CC[N+](=O)[O-],0
RAPBNVDSDCTNRC-UHFFFAOYSA-N,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0
WVLBCYQITXONBZ-UHFFFAOYSA-N,COP(=O)(OC)OC,0
KWISWUFGPUHDRY-UHFFFAOYSA-N,CC(C)=CCl,1
