InChIKey,SMILES,Developmental_target
CZMRCDWAGMRECN-UGDNZRGBSA-N,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1
FBPFZTCFMRRESA-JGWLITMVSA-N,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0
SESFRYSPDFLNCH-UHFFFAOYSA-N,O=C(OCc1ccccc1)c1ccccc1,0
MECHNRXZTMCUDQ-RKHKHRCZSA-N,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C,1
IAKHMKGGTNLKSZ-INIZCTEOSA-N,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,1
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,Cn1c(=O)c2[nH]cnc2n(C)c1=O,1
RYYVLZVUVIJVGH-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1
OSWPMRLSEDHDFF-UHFFFAOYSA-N,COC(=O)c1ccccc1O,1
NWVVVBRKAWDGAB-UHFFFAOYSA-N,COc1ccc(O)cc1,1
FPIPGXGPPPQFEQ-OVSJKPMPSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,1
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(C)=O,1
OMPJBNCRMGITSC-UHFFFAOYSA-N,O=C(OOC(=O)c1ccccc1)c1ccccc1,1
XMGQYMWWDOXHJM-UHFFFAOYSA-N,C=C(C)C1CC=C(C)CC1,1
UFWIBTONFRDIAS-UHFFFAOYSA-N,c1ccc2ccccc2c1,1
UFBJCMHMOXMLKC-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1
JWAZRIHNYRIHIV-UHFFFAOYSA-N,Oc1ccc2ccccc2c1,1
IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1,1
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Oc1ccccc1,1
GHMLBKRAJCXXBS-UHFFFAOYSA-N,Oc1cccc(O)c1,1
PPBRXRYQALVLMV-UHFFFAOYSA-N,C=Cc1ccccc1,1
VYFYYTLLBUKUHU-UHFFFAOYSA-N,NCCc1ccc(O)c(O)c1,1
CXKWCBBOMKCUKX-UHFFFAOYSA-M,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],1
FGLBSLMDCBOPQK-UHFFFAOYSA-N,CC(C)[N+](=O)[O-],1
CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,1
NOWKCMXCCJGMRR-UHFFFAOYSA-N,C1CN1,1
DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(=O)O,1
CWSZBVAUYPTXTG-UHFFFAOYSA-N,COC1C(CO)OC(OCC2OC(OC3C(CO)OC(C)C(O)C3O)C(O)C(O)C2OC2OC(CO)C(OC)C(O)C2OCCO)C(O)C1O,1
VKYKSIONXSXAKP-UHFFFAOYSA-N,C1N2CN3CN1CN(C2)C3,1
KNKRKFALVUDBJE-UHFFFAOYSA-N,CC(Cl)CCl,1
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O,1
YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,1
WLDHEUZGFKACJH-UHFFFAOYSA-K,O=S(=O)([O-])c1ccc2c(N=Nc3ccc(S(=O)(=O)[O-])c4ccccc34)c(O)c(S(=O)(=O)[O-])cc2c1.[Na+].[Na+].[Na+],1
FAPWRFPIFSIZLT-UHFFFAOYSA-M,[Cl-].[Na+],1
NLXLAEXVIDQMFP-UHFFFAOYSA-N,[Cl-].[NH4+],1
WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl,1
XMTQQYYKAHVGBJ-UHFFFAOYSA-N,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1
LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,1
JUVIOZPCNVVQFO-HBGVWJBISA-N,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,1
OSDLLIBGSJNGJE-UHFFFAOYSA-N,Cc1cc(O)cc(C)c1Cl,1
WSFSSNUMVMOOMR-UHFFFAOYSA-N,C=O,1
ZOJBYZNEUISWFT-UHFFFAOYSA-N,C=CCN=C=S,1
DGVVWUTYPXICAM-UHFFFAOYSA-N,OCCS,1
DENRZWYUOJLTMF-UHFFFAOYSA-N,CCOS(=O)(=O)OCC,1
DGEZNRSVGBDHLK-UHFFFAOYSA-N,c1cnc2c(c1)ccc1cccnc12,1
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,1
AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,0
UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,1
WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,1
ZHNUHDYFZUAESO-UHFFFAOYSA-N,NC=O,1
SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl,1
unknown,FC(Cl)(Cl)Cl,0
LFHISGNCFUNFFM-UHFFFAOYSA-N,O=[N+]([O-])C(Cl)(Cl)Cl,1
TZRXHJWUDPFEEY-UHFFFAOYSA-N,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],0
HJOVHMDZYOCNQW-UHFFFAOYSA-N,CC1=CC(=O)CC(C)(C)C1,1
QPFMBZIOSGYJDE-UHFFFAOYSA-N,ClC(Cl)C(Cl)Cl,1
IISBACLAFKSPIT-UHFFFAOYSA-N,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1
XMNIXWIUMCBBBL-UHFFFAOYSA-N,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,1
DOIRQSBPFJWKBE-UHFFFAOYSA-N,CCCCOC(=O)c1ccccc1C(=O)OCCCC,1
XKJCHHZQLQNZHY-UHFFFAOYSA-N,O=C1NC(=O)c2ccccc21,1
RELMFMZEBKVZJC-UHFFFAOYSA-N,Clc1cccc(Cl)c1Cl,0
OWZPCEFYPSAJFR-UHFFFAOYSA-N,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1
DECIPOUIJURFOJ-UHFFFAOYSA-N,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,0
RWLALWYNXFYRGW-UHFFFAOYSA-N,CCCC(O)C(CC)CO,1
OBCSAIDCZQSFQH-UHFFFAOYSA-N,Cc1cc(N)ccc1N,1
AWMVMTVKBNGEAK-UHFFFAOYSA-N,c1ccc(C2CO2)cc1,1
LXQOQPGNCGEELI-UHFFFAOYSA-N,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1
SOGAXMICEFXMKE-UHFFFAOYSA-N,C=C(C)C(=O)OCCCC,1
BIXZHMJUSMUDOQ-UHFFFAOYSA-N,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,0
YKFLAYDHMOASIY-UHFFFAOYSA-N,CC1=CCC(C(C)C)=CC1,1
YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CCc1ccccc1,1
HLBLWEWZXPIGSM-UHFFFAOYSA-N,Nc1ccc(Oc2ccc(N)cc2)cc1,1
WOYWLLHHWAMFCB-UHFFFAOYSA-N,CCCCC(CC)COC(C)=O,0
HLBZWYXLQJQBKU-UHFFFAOYSA-N,C1CN(SSN2CCOCC2)CCO1,1
NEHNMFOYXAPHSD-UHFFFAOYSA-N,CC(C)=CCCC(C)CC=O,1
URLKBWYHVLBVBO-UHFFFAOYSA-N,Cc1ccc(C)cc1,1
RBACIKXCRWGCBB-UHFFFAOYSA-N,CCC1CO1,1
FVSKHRXBFJPNKK-UHFFFAOYSA-N,CCC#N,1
TZIHFWKZFHZASV-UHFFFAOYSA-N,COC=O,1
ARXJGSRGQADJSQ-UHFFFAOYSA-N,COCC(C)O,1
ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,CC(C)OC(C)C,1
FPYJFEHAWHCUMM-UHFFFAOYSA-N,O=C1C=CC(=O)O1,1
KFFQABQEJATQAT-UHFFFAOYSA-N,CCCCNC(=S)NCCCC,1
OPKOKAMJFNKNAS-UHFFFAOYSA-N,CNCCO,1
VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,1
WERYXYBDKMZEQL-UHFFFAOYSA-N,OCCCCO,1
XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,1
MTHSVFCYNBDYFN-UHFFFAOYSA-N,OCCOCCO,1
POAOYUHQDCAZBD-UHFFFAOYSA-N,CCCCOCCO,1
SBASXUCJHJRPEV-UHFFFAOYSA-N,COCCOCCO,1
SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOC,1
ZIBGPFATKBEMQZ-UHFFFAOYSA-N,OCCOCCOCCO,1
MWKFXSUHUHTGQN-UHFFFAOYSA-N,CCCCCCCCCCO,0
LQZZUXJYWNFBMV-UHFFFAOYSA-N,CCCCCCCCCCCCO,1
NUVBSKCKDOMJSU-UHFFFAOYSA-N,CCOC(=O)c1ccc(O)cc1,1
ZTHYODDOHIVTJV-UHFFFAOYSA-N,CCCOC(=O)c1cc(O)c(O)c(O)c1,1
XTFIVUDBNACUBN-UHFFFAOYSA-N,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,1
ODCWYMIRDDJXKW-UHFFFAOYSA-N,CCNc1nc(Cl)nc(NCC)n1,1
LCPDWSOZIOUXRV-UHFFFAOYSA-N,O=C(O)COc1ccccc1,1
UAHWPYUMFXYFJY-UHFFFAOYSA-N,C=CC(=C)CCC=C(C)C,1
DKPFZGUDAPQIHT-UHFFFAOYSA-N,CCCCOC(C)=O,1
REYJJPSVUYRZGE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCN,0
NIQCNGHVCWTJSM-UHFFFAOYSA-N,COC(=O)c1ccccc1C(=O)OC,1
QAQJMLQRFWZOBN-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(O)=C1O,1
JIGUQPWFLRLWPJ-UHFFFAOYSA-N,C=CC(=O)OCC,1
XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(C)=O,1
SHOJXDKTYKFBRD-UHFFFAOYSA-N,CC(=O)C=C(C)C,1
ZWRUINPWMLAQRD-UHFFFAOYSA-N,CCCCCCCCCO,1
YXIWHUQXZSMYRE-UHFFFAOYSA-N,S=c1[nH]c2ccccc2s1,1
OBETXYAYXDNJHR-UHFFFAOYSA-N,CCCCC(CC)C(=O)O,1
OHBQPCCCRFSCAX-UHFFFAOYSA-N,COc1ccc(OC)cc1,1
KFUSEUYYWQURPO-UHFFFAOYSA-N,ClC=CCl,1
BAVYZALUXZFZLV-UHFFFAOYSA-N,CN,1
HNJBEVLQSNELDL-UHFFFAOYSA-N,O=C1CCCN1,1
HAMGRBXTJNITHG-UHFFFAOYSA-N,CN=C=O,1
YCOZIPAWZNQLMR-UHFFFAOYSA-N,CCCCCCCCCCCCCCC,0
VONWDASPFIQPDY-UHFFFAOYSA-N,COP(C)(=O)OC,1
SECXISVLQFMRJM-UHFFFAOYSA-N,CN1CCCC1=O,1
IWWWBRIIGAXLCJ-UHFFFAOYSA-O,CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c2cc1C,1
NRPKURNSADTHLJ-UHFFFAOYSA-N,CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,1
DUEPRVBVGDRKAG-UHFFFAOYSA-N,CNC(=O)Oc1cccc2c1OC(C)(C)C2,1
HUBANNPOLNYSAD-UHFFFAOYSA-N,O=C(O)c1nc(Cl)ccc1Cl,0
FRCHKSNAZZFGCA-UHFFFAOYSA-N,CC(F)(Cl)Cl,1
DCUJJWWUNKIJPH-UHFFFAOYSA-N,Clc1cccc(C(Cl)(Cl)Cl)n1,1
ZFSLODLOARCGLH-UHFFFAOYSA-N,O=c1[nH]c(=O)[nH]c(=O)[nH]1,0
OVSKIKFHRZPJSS-UHFFFAOYSA-N,O=C(O)COc1ccc(Cl)cc1Cl,1
MGFYIUFZLHCRTH-UHFFFAOYSA-N,O=C(O)CN(CC(=O)O)CC(=O)O,0
ATUOYWHBWRKTHZ-UHFFFAOYSA-N,CCC,1
VNWKTOKETHGBQD-UHFFFAOYSA-N,C,1
YAPQBXQYLJRXSA-UHFFFAOYSA-N,Cn1cnc2c1c(=O)[nH]c(=O)n2C,1
YJTKZCDBKVTVBY-UHFFFAOYSA-N,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,1
ZVFDTKUVRCTHQE-UHFFFAOYSA-N,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,1
IJFPVINAQGWBRJ-UHFFFAOYSA-N,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,1
COCLLEMEIJQBAG-UHFFFAOYSA-N,C=C(C)C(=O)OCCCCCCCC(C)C,1
QELSKZZBTMNZEB-UHFFFAOYSA-N,CCCOC(=O)c1ccc(O)cc1,1
DHVLDKHFGIVEIP-UHFFFAOYSA-N,N#CCCC(Br)(C#N)CBr,1
CAWXEEYDBZRFPE-UHFFFAOYSA-N,CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C,1
RRHGJUQNOFWUDK-UHFFFAOYSA-N,C=CC(=C)C,1
IVSZLXZYQVIEFR-UHFFFAOYSA-N,Cc1cccc(C)c1,1
FJLUATLTXUNBOT-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCN,1
NCOFDUNMKGIVBQ-UHFFFAOYSA-N,CCC(C)C(C)CCOC(C)=O,1
WFUGQJXVXHBTEM-UHFFFAOYSA-N,CCC(C)(OO)OOC(C)(CC)OO,1
XCJXQCUJXDUNDN-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl,1
RQKFYFNZSHWXAW-UHFFFAOYSA-N,Cc1ccc(N)cc1Cl,1
WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccccc1,1
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,1
QWVGKYWNOKOFNN-UHFFFAOYSA-N,Cc1ccccc1O,1
KJPRLNWUNMBNBZ-QPJJXVBHSA-N,O=C/C=C/c1ccccc1,1
HBGGXOJOCNVPFY-UHFFFAOYSA-N,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,1
WSWCOQWTEOXDQX-MQQKCMAXSA-N,C/C=C/C=C/C(=O)O,1
PGIBJVOPLXHHGS-UHFFFAOYSA-N,CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCC,1
UDSFAEKRVUSQDD-UHFFFAOYSA-N,COC(=O)CCCCC(=O)OC,1
VWDWKYIASSYTQR-UHFFFAOYSA-N,O=[N+]([O-])[O-].[Na+],1
MNSGOOCAMMSKGI-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)N1CO,1
VMHLLURERBWHNL-UHFFFAOYSA-M,CC(=O)[O-].[Na+],0
QGNJRVVDBSJHIZ-QHLGVNSISA-N,CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,1
FGIUAXJPYTZDNR-UHFFFAOYSA-N,O=[N+]([O-])[O-].[K+],1
FQDIANVAWVHZIR-OWOJBTEDSA-N,ClC/C=C/CCl,1
XZZNDPSIHUTMOC-UHFFFAOYSA-N,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,0
YRKCREAYFQTBPV-UHFFFAOYSA-N,CC(=O)CC(C)=O,1
WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCc1ccccc1,1
VYPSYNLAJGMNEJ-UHFFFAOYSA-N,O=[Si]=O,1
CIFFBTOJCKSRJY-UHFFFAOYSA-N,O=C1NC(=O)C2CC=CCC12,1
MVPPADPHJFYWMZ-UHFFFAOYSA-N,Clc1ccccc1,0
IAOZJIPTCAWIRG-QWRGUYRKSA-N,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,1
MIMDHDXOBDPUQW-UHFFFAOYSA-N,CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,0
RDOFJDLLWVCMRU-UHFFFAOYSA-N,CC(C)COC(=O)CCCCC(=O)OCC(C)C,1
NESLWCLHZZISNB-UHFFFAOYSA-M,[Na+].[O-]c1ccccc1,0
APSBXTVYXVQYAB-UHFFFAOYSA-M,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],1
LPXPTNMVRIOKMN-UHFFFAOYSA-M,O=N[O-].[Na+],1
PPASLZSBLFJQEF-RXSVEWSESA-M,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O.[Na+],1
PYWVYCXTNDRMGF-UHFFFAOYSA-N,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1.[Cl-],1
DBMJMQXJHONAFJ-UHFFFAOYSA-M,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1
WYURNTSHIVDZCO-UHFFFAOYSA-N,C1CCOC1,1
JBTHDAVBDKKSRW-UHFFFAOYSA-N,Cc1ccc(/N=N/c2c(O)ccc3ccccc23)c(C)c1,0
BCZXFFBUYPCTSJ-UHFFFAOYSA-L,CCC(=O)[O-].CCC(=O)[O-].[Ca+2],0
SFVFIFLLYFPGHH-UHFFFAOYSA-M,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0
JXKPEJDQGNYQSM-UHFFFAOYSA-M,CCC(=O)[O-].[Na+],1
BVTBRVFYZUCAKH-UHFFFAOYSA-L,O=[Se]([O-])[O-].[Na+].[Na+],1
DPUOLQHDNGRHBS-KTKRTIGZSA-N,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,1
IQDGSYLLQPDQDV-UHFFFAOYSA-N,CNC.Cl,1
ABBQHOQBGMUPJH-UHFFFAOYSA-M,O=C([O-])c1ccccc1O.[Na+],1
SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],1
NCXMLFZGDNKEPB-FFPOYIOWSA-N,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,1
FQENQNTWSFEDLI-UHFFFAOYSA-J,O=P([O-])([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],1
WTEVQBCEXWBHNA-JXMROGBWSA-N,CC(C)=CCC/C(C)=C/C=O,1
MEXUFEQDCXZEON-UHFFFAOYSA-N,FC(F)(Cl)Br,0
HRYZWHHZPQKTII-UHFFFAOYSA-N,CCCl,1
UOORRWUZONOOLO-OWOJBTEDSA-N,Cl/C=C/CCl,1
