InChIKey,SMILES,Reproductive_target
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,Oc1ccc(O)cc1,1
VYGQUTWHTHXGQB-FFHKNEKCSA-N,CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,1
NOPFSRXAKWQILS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCO,1
OENHQHLEOONYIE-JLTXGRSLSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,1
BRLQWZUYTZBJKN-UHFFFAOYSA-N,ClCC1CO1,1
AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC,1
LRBQNJMCXXYXIU-PPKXGCFTSA-N,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,1
ZNQVEEAIQZEUHB-UHFFFAOYSA-N,CCOCCO,0
MXWJVTOOROXGIU-UHFFFAOYSA-N,CCNc1nc(Cl)nc(NC(C)C)n1,1
NLZUEZXRPGMBCV-UHFFFAOYSA-N,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1
JBKVHLHDHHXQEQ-UHFFFAOYSA-N,O=C1CCCCCN1,1
TWFZGCMQGLPBSX-UHFFFAOYSA-N,COC(=O)Nc1nc2ccccc2[nH]1,1
IPKKHRVROFYTEK-UHFFFAOYSA-N,CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,1
RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,1
VILCJCGEZXAXTO-UHFFFAOYSA-N,NCCNCCNCCN,1
MMOXZBCLCQITDF-UHFFFAOYSA-N,CCN(CC)C(=O)c1cccc(C)c1,1
ZUOUZKKEUPVFJK-UHFFFAOYSA-N,c1ccc(-c2ccccc2)cc1,1
RDHPKYGYEGBMSE-UHFFFAOYSA-N,CCBr,1
PAAZPARNPHGIKF-UHFFFAOYSA-N,BrCCBr,1
COLNVLDHVKWLRT-UHFFFAOYSA-N,NC(Cc1ccccc1)C(=O)O,1
VZGDMQKNWNREIO-UHFFFAOYSA-N,ClC(Cl)(Cl)Cl,1
LGXVIGDEPROXKC-UHFFFAOYSA-N,C=C(Cl)Cl,1
VVQNEPGJFQJSBK-UHFFFAOYSA-N,C=C(C)C(=O)OC,1
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,O=CCCCC=O,1
LHGVFZTZFXWLCP-UHFFFAOYSA-N,COc1ccccc1O,1
KUAZQDVKQLNFPE-UHFFFAOYSA-N,CN(C)C(=S)SSC(=S)N(C)C,1
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,1
GUBGYTABKSRVRQ-DCSYEGIMSA-N,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,1
ALYNCZNDIQEVRV-UHFFFAOYSA-N,Nc1ccc(C(=O)O)cc1,0
BJQHLKABXJIVAM-UHFFFAOYSA-N,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1
LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,1
FMMWHPNWAFZXNH-UHFFFAOYSA-N,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1
OTLNPYWUJOZPPA-UHFFFAOYSA-N,O=C(O)c1ccc([N+](=O)[O-])cc1,1
UMGDCJDMYOKAJW-UHFFFAOYSA-N,NC(N)=S,1
OEBRKCOSUFCWJD-UHFFFAOYSA-N,COP(=O)(OC)OC=C(Cl)Cl,0
VHHHONWQHHHLTI-UHFFFAOYSA-N,ClC(Cl)(Cl)C(Cl)(Cl)Cl,1
NEHMKBQYUWJMIP-UHFFFAOYSA-N,CCl,1
BZHJMEDXRYGGRV-UHFFFAOYSA-N,C=CCl,1
QGJOPFRUJISHPQ-UHFFFAOYSA-N,S=C=S,1
RHQDFWAXVIIEBN-UHFFFAOYSA-N,OCC(F)(F)F,1
AJDIZQLSFPQPEY-UHFFFAOYSA-N,FC(F)(Cl)C(F)(Cl)Cl,1
VUNCWTMEJYMOOR-UHFFFAOYSA-N,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,1
BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O,1
HRPVXLWXLXDGHG-UHFFFAOYSA-N,C=CC(N)=O,1
VXIVSQZSERGHQP-UHFFFAOYSA-N,NC(=O)CCl,1
MCSAJNNLRCFZED-UHFFFAOYSA-N,CC[N+](=O)[O-],0
UUAGAQFQZIEFAH-UHFFFAOYSA-N,FC(F)=C(F)Cl,1
WXCMHFPAUCOJIG-UHFFFAOYSA-N,CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,1
LKPLKUMXSAEKID-UHFFFAOYSA-N,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
FLKPEMZONWLCSK-UHFFFAOYSA-N,CCOC(=O)c1ccccc1C(=O)OCC,1
DOIRQSBPFJWKBE-UHFFFAOYSA-N,CCCCOC(=O)c1ccccc1C(=O)OCCCC,1
LGRFSURHDFAFJT-UHFFFAOYSA-N,O=C1OC(=O)c2ccccc21,1
IRIAEXORFWYRCZ-UHFFFAOYSA-N,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1
PLAZTCDQAHEYBI-UHFFFAOYSA-N,Cc1ccccc1[N+](=O)[O-],1
IQVAERDLDAZARL-UHFFFAOYSA-N,CC(C=O)c1ccccc1,1
ZMQAAUBTXCXRIC-UHFFFAOYSA-N,C=CCc1ccc2c(c1)OCO2,1
CFXQEHVMCRXUSD-UHFFFAOYSA-N,ClCC(Cl)CCl,0
SSZWWUDQMAHNAQ-UHFFFAOYSA-N,OCC(O)CCl,1
KWOLFJPFCHCOCG-UHFFFAOYSA-N,CC(=O)c1ccccc1,0
TXFPEBPIARQUIG-UHFFFAOYSA-N,CC(=O)c1ccc(O)cc1,1
CZGCEKJOLUNIFY-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(Cl)cc1,1
TYMLOMAKGOJONV-UHFFFAOYSA-N,Nc1ccc([N+](=O)[O-])cc1,1
SPPWGCYEYAMHDT-UHFFFAOYSA-N,CC(C)c1ccc(C(C)C)cc1,1
OWRCNXZUPFZXOS-UHFFFAOYSA-N,N=C(Nc1ccccc1)Nc1ccccc1,1
YIWUKEYIRIRTPP-UHFFFAOYSA-N,CCCCC(CC)CO,1
LSWYGACWGAICNM-UHFFFAOYSA-N,C=CCOCC1CO1,1
CYNYIHKIEHGYOZ-UHFFFAOYSA-N,CCCBr,1
SVTBMSDMJJWYQN-UHFFFAOYSA-N,CC(O)CC(C)(C)O,0
UQEAIHBTYFGYIE-UHFFFAOYSA-N,C[Si](C)(C)O[Si](C)(C)C,1
SWAXTRYEYUTSAP-UHFFFAOYSA-N,CC(=O)OOC(C)(C)C,1
PUPZLCDOIYMWBV-UHFFFAOYSA-N,CC(O)CCO,1
PAFZNILMFXTMIY-UHFFFAOYSA-N,NC1CCCCC1,1
HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,0
JHIVVAPYMSGYDF-UHFFFAOYSA-N,O=C1CCCCC1,1
WQAQPCDUOCURKW-UHFFFAOYSA-N,CCCCS,1
KWYHDKDOAIKMQN-UHFFFAOYSA-N,CN(C)CCN(C)C,0
XLLIQLLCWZCATF-UHFFFAOYSA-N,COCCOC(C)=O,1
VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,1
XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,1
NQRYJNQNLNOLGT-UHFFFAOYSA-N,C1CCNCC1,0
SVONRAPFKPVNKG-UHFFFAOYSA-N,CCOCCOC(C)=O,1
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,CCCCCCO,1
ZNSMNVMLTJELDZ-UHFFFAOYSA-N,ClCCOCCCl,0
XXJWXESWEXIICW-UHFFFAOYSA-N,CCOCCOCCO,0
NQBXSWAWVZHKBZ-UHFFFAOYSA-N,CCCCOCCOC(C)=O,0
OAYXUHPQHDHDDZ-UHFFFAOYSA-N,CCCCOCCOCCO,1
HSUIVCLOAAJSRE-UHFFFAOYSA-N,COCCOC(=O)c1ccccc1C(=O)OCCOC,1
MQIUGAXCHLFZKX-UHFFFAOYSA-N,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,1
KEQGZUUPPQEDPF-UHFFFAOYSA-N,CC1(C)C(=O)N(Cl)C(=O)N1Cl,0
XPCTZQVDEJYUGT-UHFFFAOYSA-N,Cc1occc(=O)c1O,1
KGRVJHAUYBGFFP-UHFFFAOYSA-N,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,1
AOMUHOFOVNGZAN-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)N(CCO)CCO,1
HFZWRUODUSTPEG-UHFFFAOYSA-N,Oc1ccc(Cl)cc1Cl,1
CYTQBVOFDCPGCX-UHFFFAOYSA-N,COP(OC)OC,1
QCDWFXQBSFUVSP-UHFFFAOYSA-N,OCCOc1ccccc1,1
LGYNIFWIKSEESD-UHFFFAOYSA-N,CCCCC(C=O)CC,1
GHKOFFNLGXMVNJ-UHFFFAOYSA-N,CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC,0
PHTQWCKDNZKARW-UHFFFAOYSA-N,CC(C)CCO,1
ULBTUVJTXULMLP-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OCCCC,1
SJWKGDGUQTWDRV-UHFFFAOYSA-N,C=CCOC(=O)CCCCCC,1
BPRYUXCVCCNUFE-UHFFFAOYSA-N,Cc1cc(C)c(O)c(C)c1,1
VLPFTAMPNXLGLX-UHFFFAOYSA-N,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,1
HMMGMWAXVFQUOA-UHFFFAOYSA-N,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,1
RANCECPPZPIPNO-UHFFFAOYSA-N,Oc1cc(Cl)ccc1Cl,1
DYSXLQBUUOPLBB-UHFFFAOYSA-N,Cc1cccc([N+](=O)[O-])c1[N+](=O)[O-],1
XTRDKALNCIHHNI-UHFFFAOYSA-N,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],1
INYDMNPNDHRJQJ-UHFFFAOYSA-N,Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,1
JRLPEMVDPFPYPJ-UHFFFAOYSA-N,CCc1ccc(C)cc1,1
GBDZXPJXOMHESU-UHFFFAOYSA-N,Clc1ccc(Cl)c(Cl)c1Cl,1
RRAMGCGOFNQTLD-UHFFFAOYSA-N,O=C=NCCCCCCN=C=O,0
CNCOEDDPFOAUMB-UHFFFAOYSA-N,C=CC(=O)NCO,1
CRQQGFGUEAVUIL-UHFFFAOYSA-N,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1
YICSVBJRVMLQNS-UHFFFAOYSA-N,CCCCOP(=O)(OCCCC)Oc1ccccc1,1
UZGLIIJVICEWHF-UHFFFAOYSA-N,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,0
GTEXIOINCJRBIO-UHFFFAOYSA-N,CN(C)CCOCCN(C)C,1
ULDHMXUKGWMISQ-UHFFFAOYSA-N,C=C(C)C1CC=C(C)C(=O)C1,1
IZMJMCDDWKSTTK-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,1
UEZWYKZHXASYJN-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)N1SC1CCCCC1,1
RIOXQFHNBCKOKP-UHFFFAOYSA-N,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,1
MRLGCTNJRREZHZ-UHFFFAOYSA-N,O=Cc1cccc(Oc2ccccc2)c1,1
CTQNGGLPUBDAKN-UHFFFAOYSA-N,Cc1ccccc1C,1
KGBXLFKZBHKPEV-UHFFFAOYSA-N,OB(O)O,1
BOSMZFBHAYFUBJ-UHFFFAOYSA-N,Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,1
TXJUTRJFNRYTHH-UHFFFAOYSA-N,O=c1[nH]c2ccccc2c(=O)o1,1
DGQLVPJVXFOQEV-JNVSTXMASA-N,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(O)c1C2=O,1
OUYCCCASQSFEME-QMMMGPOBSA-N,N[C@@H](Cc1ccc(O)cc1)C(=O)O,1
DVARTQFDIMZBAA-UHFFFAOYSA-O,O=[N+]([O-])[O-].[NH4+],1
JSFITYFUKSFPBZ-UHFFFAOYSA-N,CC(C)CCCCCCc1ccc(O)cc1,1
UPMLOUAZCHDJJD-UHFFFAOYSA-N,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,1
RLSSMJSEOOYNOY-UHFFFAOYSA-N,Cc1cccc(O)c1,1
LEHOTFFKMJEONL-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,1
YFNKIDBQEZZDLK-UHFFFAOYSA-N,COCCOCCOCCOC,1
WXMKPNITSTVMEF-UHFFFAOYSA-M,O=C([O-])c1ccccc1.[Na+],1
VOWAEIGWURALJQ-UHFFFAOYSA-N,O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1,1
BXNHTSHTPBPRFX-UHFFFAOYSA-M,O=N[O-].[K+],1
HVUMOYIDDBPOLL-XWVZOOPGSA-N,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,1
MLUCVPSAIODCQM-NSCUHMNNSA-N,C/C=C/C=O,1
GMLDCZYTIPCVMO-UHFFFAOYSA-N,C=C(C=O)CC,1
DFMMVLFMMAQXHZ-DOKBYWHISA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C=O)C(C)(C)CCC1,1
DGQLVPJVXFOQEV-UHFFFAOYSA-N,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O,1
PXBRQCKWGAHEHS-UHFFFAOYSA-N,FC(F)(Cl)Cl,1
ROHFNLRQFUQHCH-YFKPBYRVSA-N,CC(C)C[C@H](N)C(=O)O,1
COLNVLDHVKWLRT-QMMMGPOBSA-N,N[C@@H](Cc1ccccc1)C(=O)O,1
FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@H](N)C(=O)O,1
NNWHUJCUHAELCL-SNAWJCMRSA-N,C/C=C/c1ccc(OC)c(OC)c1,1
HCFAJYNVAYBARA-UHFFFAOYSA-N,CCCC(=O)CCC,1
