InChIKey,SMILES,Respiratory_target
ABSDZQDZDHJMPX-UHFFFAOYSA-N,CCCCOCC(O)COCCCC,0
CYBHZZZXLCUSQA-UHFFFAOYSA-N,CC(C)C(C)(COC(N)=O)COC(N)=O,0
ALBSWLMUHHZLLR-UHFFFAOYSA-N,COC(=O)C[N+](=O)[O-],0
OTIZTAXUFMCICV-UHFFFAOYSA-N,CC(C)(C)C(=O)OCC(=O)c1ccccc1,0
PUSJAEJRDNPYKM-UHFFFAOYSA-N,CC(=O)c1cc(C)sc1C,1
RUANENNXSBNRIP-UHFFFAOYSA-N,CCOC(=O)CN(CC(C)C)CC(C)C,1
JFBWZQGMDBYSIH-UHFFFAOYSA-N,CCCCCN(CCCCC)CC(=O)OCC,1
CWZCDPXXTWLHPO-UHFFFAOYSA-N,CCCCCCN(CCCCCC)CC(=O)OCC,1
YFNGCKXAIRGJTA-UHFFFAOYSA-N,CCOC(=O)CN(C1CCCCC1)C1CCCCC1,1
BHJCQZBVCMLMKV-UHFFFAOYSA-N,C=CCN(CC=C)CC(=O)OCC,0
MOXTXJCVFAWXTI-UHFFFAOYSA-N,CCCN(CCC)CC(=O)NN,1
LQIQAZOPAXDSOP-UHFFFAOYSA-N,CC(C)N(CC(=O)NN)C(C)C,1
WJDAMHVSNVGDPK-UHFFFAOYSA-N,CCCCN(CCCC)CC(=O)NN,1
OFJSNTDWKDOLCT-UHFFFAOYSA-N,CC(C)CN(CC(=O)NN)CC(C)C,1
CPKORLMZNZXAIL-UHFFFAOYSA-N,CCCCCN(CCCCC)CC(=O)NN,1
DZXVCUMOIWJBLL-UHFFFAOYSA-N,CC(C)CCN(CCC(C)C)CC(=O)NN,1
YOQPCWIXYUNEET-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(NN=C(c2ccc(O)cc2)c2ccc(O)cc2)c([N+](=O)[O-])c1,1
RZPLODMPJDDPCO-UHFFFAOYSA-N,CN(C)CCNc1cccccc1=O,1
TXUMSGFXVUDLSH-UHFFFAOYSA-N,CCOC(=O)CN(CCC(C)C)CCC(C)C,1
WQWNVPGJVKVZDH-UHFFFAOYSA-N,CCOc1cc(C=O)cc(C=O)c1O,1
YVNRFQCFZVYDRO-UHFFFAOYSA-N,COc1cc(C=O)cc(C=O)c1O,1
MXTPRJXPLFGHEE-UHFFFAOYSA-N,NCCSS(=O)(=O)O,1
MHSKRLJMQQNJNC-UHFFFAOYSA-N,NC(=O)c1ccc(C(N)=O)cc1,1
FQXSTGKJHBFSIQ-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)N(C)C,0
FUKWTMJZHKZKFA-UHFFFAOYSA-N,N#Cc1ccc(C(N)=O)cc1,0
BNQSTAOJRULKNX-UHFFFAOYSA-N,CC(=O)NCCCCCCNC(C)=O,0
WQDDXVGJRSTLED-UHFFFAOYSA-N,CN1CCN(c2ccccc2)CC1,1
GEMKGDSDLYAIRK-UHFFFAOYSA-N,CCOC(=O)c1cc(C)c(N)c(C)c1,0
DOBPAXBDQAYQMF-UHFFFAOYSA-N,CC(C)(C)CCOC(N)=O,1
VVDOBSIULNBZRI-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(-c2cn3[nH]cnc3n2)cc1,0
PAQVSWFCADWSLB-UHFFFAOYSA-N,N#Cc1cccc(C(N)=O)c1,0
SQSNGPIVSCOKRR-UHFFFAOYSA-N,CNCCCN1c2ccc(O)cc2Sc2ccc(Cl)cc21,1
HNYORSFHUYNBPJ-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2CCS(C)=O)n(C)c1=O,0
UMTCUOGPPFMKEN-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2CCSC#N)n(C)c1=O,1
BTSRIWFABHLYDQ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)N(C)C,0
FFJVYLVTPMHYQP-UHFFFAOYSA-N,O=C1C=CC(=O)C(I)=C1,1
TUIDRUSFPFFFRQ-UHFFFAOYSA-N,c1ccc(N2CCN(CCc3ccccn3)CC2)cc1,1
MDBYNIYDVXWNMS-UHFFFAOYSA-N,Clc1ccccc1N1CCN(CCc2ccccn2)CC1,1
KDDKHXPGBGVQMO-UHFFFAOYSA-N,COc1ccccc1N1CCN(CCc2ccccn2)CC1,1
FSQOGGFEFMYPPR-UHFFFAOYSA-N,c1ccc(N2CCN(CCc3ccncc3)CC2)cc1,1
LGUUJUGLCIVNHZ-UHFFFAOYSA-N,COc1ccccc1N1CCN(CCc2ccncc2)CC1,1
FHQNBFZVFNNEOO-UHFFFAOYSA-N,Brc1ccccc1N1CCN(CCc2ccncc2)CC1,1
RJGJCHYNEWULMZ-UHFFFAOYSA-N,Nc1c(-c2ccccc2)nc2ccccn12,0
GCAHLXLJRNJZCA-UHFFFAOYSA-N,Clc1ccccc1N1CCN(CCc2ccncc2)CC1,1
RUAFWBHQDYPINX-UHFFFAOYSA-N,Cc1ccccc1N1CCN(CCc2ccncc2)CC1,1
IFADHLCJXFAQQO-UHFFFAOYSA-N,CCOc1ccccc1N1CCN(CCc2ccncc2)CC1,1
FVTXUALVQNDJRJ-UHFFFAOYSA-N,Cc1[nH]c2ccccc2c1CCN1CCN(c2ccccc2)CC1,1
PUGZUYUBEFEQKB-UHFFFAOYSA-N,CCN(CC)CCOC(=O)COc1ccc(Cl)cc1,0
KPDJEIKIIJRPFO-UHFFFAOYSA-N,CN(C)S(=O)(=O)c1ccc(CNCCNCc2ccc(S(=O)(=O)N(C)C)cc2)cc1,0
GTCNCFMJBMQOJT-UHFFFAOYSA-N,O=C(Cc1ccc([N+](=O)[O-])cc1)OCCF,1
MVNYQVCSSLUAPE-UHFFFAOYSA-N,O=C(OCCF)C(c1ccccc1)c1ccccc1,1
UAAWUFLHOXJOAS-UHFFFAOYSA-N,COc1ccc(CC(=O)OCCF)cc1,1
ZMJRUUBDMPKHJS-UHFFFAOYSA-N,c1ccc(-c2nncs2)cc1,1
DMMAFNBTYZUBLN-UHFFFAOYSA-N,O=C(COc1ccc2ccccc2c1)OCCF,1
BGWWTUOBCUHYIT-UHFFFAOYSA-N,COc1ccccc1C(=O)NCC(=O)N(C)C,0
KWGUFOITWDSNQY-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,1
VITQCDLNBVTCJS-UHFFFAOYSA-N,COc1cc2c(cc1O)C(=O)c1nccc3cc(OC)c(OC)c-2c13,1
KMUNXDCQPABTSC-UHFFFAOYSA-N,CCNc1nc(CC)nc(OC)n1,1
YXCDJKQYFBEAOU-UHFFFAOYSA-N,N#CSc1ccccc1,1
VXQROEXTWNTASQ-UHFFFAOYSA-N,CNC(=S)c1ccccc1,1
ZRJIGKLTDLURBD-UHFFFAOYSA-N,CCOC(=O)CSC#N,1
ZIIMZMSKBKAABD-UHFFFAOYSA-N,c1ccc2c(CN3CCCC3)c[nH]c2c1,1
KBCCFFGCRDUANG-UHFFFAOYSA-N,O=C(CI)OCCOC(=O)CI,1
ZTLMHGOWADYAHM-UHFFFAOYSA-N,S=c1[nH]nc(-c2ccccc2)s1,1
ZLJLVKBAMJHNJH-UHFFFAOYSA-N,S=C1NCCCCN1,1
GOXLVSZAUDIXPN-UHFFFAOYSA-N,Nc1c2c(nc3ccccc13)CCCCC2,1
CWOSTJOZRVRLJV-UHFFFAOYSA-N,COc1ccc(CCNc2c3c(nc4ccccc24)CCCC3)cc1OC,1
DENPQNAWGQXKCU-UHFFFAOYSA-N,NC(=O)c1cccs1,1
BYLRUJWQQHVPTM-UHFFFAOYSA-N,c1ccc2c(N3CCOCC3)c3c(nc2c1)CCCCC3,1
ADRPZEYTIFWCBC-UHFFFAOYSA-N,CN(C(=O)CF)c1cccc2ccccc12,1
VSYMNDBTCKIDLT-UHFFFAOYSA-N,CCC(CC)(COC(N)=O)COC(N)=O,0
UPOYFZYFGWBUKL-UHFFFAOYSA-N,Nc1nc(N)c(-c2ccccc2)s1,1
FFKUDWZICMJVPA-UHFFFAOYSA-N,O=C(O)c1ccccc1OP(=O)(O)O,1
JCBPZRGUDJXNCD-UHFFFAOYSA-N,Cc1cc(O)c(C(C)C)cc1SC#N,1
HLVGXGQCLASQJU-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1cc(O)c(O)c(O)c1,1
PIOPKWFBKZTUMS-UHFFFAOYSA-N,Nc1cccccc1=O,1
DSMAHJDZYJDGTD-UHFFFAOYSA-N,CNC1(C#N)CCCCC1,1
KTFDYVNEGTXQCV-UHFFFAOYSA-N,NS(=O)(=O)c1cccs1,1
GUAYQYRFHZAEID-UHFFFAOYSA-N,CCN(CCCl)Cc1cccc2ccccc12,1
MDJFHRLTPRPZLY-UHFFFAOYSA-N,O=[N+]([O-])c1cncn1CCN1CCOCC1,0
MFZCIDXOLLEMOO-UHFFFAOYSA-N,O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,0
OUAURGNVVSZCEB-UHFFFAOYSA-N,N#CC1(NC2CCCCC2)CCCCC1,1
MGBDANYXBKROBW-UHFFFAOYSA-N,Cn1c(N)c(N=O)c(=O)n(C)c1=O,0
MLSOBFSTZSNKDO-UHFFFAOYSA-N,CCN(CC)C(=O)OCC1(COC(=O)N(CC)CC)COC1,1
RTNGTOYXXHBQMV-UHFFFAOYSA-N,O=C(OCC1(COC(=O)N2CCCCC2)CCO1)N1CCCCC1,0
ZRJREXHTQPGADY-UHFFFAOYSA-N,NC(=O)NC(=O)NCCc1ccccc1,0
BJMYAMSLFPKKNG-UHFFFAOYSA-N,CN(CCc1ccccc1)C(=O)NC(N)=O,0
NIMUIQUFHMZATH-UHFFFAOYSA-N,NC(=O)NC(=O)NCCCc1ccccc1,0
NGDIPOJPYNGPNB-UHFFFAOYSA-N,NC(=O)NC(=O)NCCCCc1ccccc1,0
HNTPTPGRPZBKSP-UHFFFAOYSA-N,COc1ccc(CCNC(=O)NC(N)=O)cc1,0
YOAUKNYXWBTMMF-UHFFFAOYSA-N,COc1cc2c(cc1OC)CN1CCc3cc(OC)c(OC)cc3C1C2,1
BHDKLGMXJCGESI-UHFFFAOYSA-N,CN1CCN(c2c3c(nc4ccccc24)CCCC3)CC1,1
CFWSFZFUNZRIFO-UHFFFAOYSA-N,O=C1CN(c2ncc([N+](=O)[O-])s2)C(=O)N1,1
LIKRJSWBWZSSLR-UHFFFAOYSA-N,Cc1ccc(B2OCC3(CO2)COB(c2ccc(C)cc2)OC3)cc1,0
BODGAMBTBSTNOV-UHFFFAOYSA-N,CCN(CC)C(=O)c1c2c(nc3ccccc13)CCCC2,1
QVOXSBQCBQISDL-UHFFFAOYSA-N,O=C(c1c2c(nc3ccccc13)CCCC2)N1CCCCC1,1
IGCQUFMUSOMTCG-UHFFFAOYSA-N,CCN(CC)C(=O)c1c2c(nc3ccccc13)CCCCC2,1
MVDQLOSFAHIAQA-UHFFFAOYSA-N,O=C(c1c2c(nc3ccccc13)CCCCC2)N1CCOCC1,1
WCCIEZDFRJREQJ-UHFFFAOYSA-N,CN(C)c1ccc(SC#N)cc1,1
MVDXQTJHPRBMOK-UHFFFAOYSA-N,O=C(c1c2c(nc3ccccc13)CCCC2)N1CCOCC1,1
GUVUOGQBMYCBQP-UHFFFAOYSA-N,CN1CCCN(C)C1=O,0
RLFPCLMBTQOMLI-UHFFFAOYSA-N,O=C(CI)NCCNC(=O)CI,1
AMHZCJNIRZHOAJ-UHFFFAOYSA-N,Cc1nc(N)nc(Nc2ccccc2)n1,1
CEQDOZNXFWUMTG-UHFFFAOYSA-N,CN(C)CCc1ccccc1Br,1
VWNWVCJGUMZDIU-UHFFFAOYSA-N,CC(CN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)C)cc21)N(C)C,1
IDTWEVXNTRCGBP-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2CC(O)CN2CCCCC2)n(C)c1=O,0
ZRBGFWOXAQPDTH-UHFFFAOYSA-N,COc1ccc2c(c1OC)C(O)N1CCc3cc4c(cc3C1=C2)OCO4,1
ZFEBPJQSSNUJGT-UHFFFAOYSA-N,O=C(Cc1ccccc1)NC1CCCCC1,0
PDNZJLMPXLQDPL-UHFFFAOYSA-N,NC1(CO)CCCC1,1
JXMFWIFYAPYINL-UHFFFAOYSA-N,CC1=C(C(C)C)CCCC1,0
DMPYTENYPFANFS-UHFFFAOYSA-N,CN1CCC(CNC(=O)CCCCCCCCC(=O)NCC2(c3ccccc3)CCN(C)CC2)(c2ccccc2)CC1,1
HWGAVSSONJYSGW-UHFFFAOYSA-N,C=CCC(CC=C)c1ccccc1,0
NEWSKSPAXZDWQD-UHFFFAOYSA-N,C=CCC(CC=C)c1ccc(OC)cc1,0
VNXYDFNVQBICRO-UHFFFAOYSA-N,COC(C(F)(F)F)C(F)(F)F,0
FFCARBNHUSWRGK-UHFFFAOYSA-N,CCN(CC)CCOC1(c2ccc(Cl)cc2)CCCCC1,1
CFGBPNSLTKLAKK-UHFFFAOYSA-N,CCOc1ccc(Cc2nc3cc(C(C)=O)ccc3n2CCN(CC)CC)cc1,1
MBQRNNRGEFJOFN-UHFFFAOYSA-N,FC(F)(F)c1ccc2oc(=S)[nH]c2c1,1
FYHIXFCITOCVKH-UHFFFAOYSA-N,CN1CCN(C)C1=S,1
CECJCPKULNJGML-UHFFFAOYSA-N,CCN(CC)CCOCc1cc(OC)c(OC)c(OC)c1,1
ASYLAICRHLUBPC-UHFFFAOYSA-N,COc1cc(COCCN2CCOCC2)cc(OC)c1OC,1
PXHSFECRQXMATJ-UHFFFAOYSA-N,COc1cc(COCCN2CCCCC2)cc(OC)c1OC,1
CAITWASTFPOMSU-UHFFFAOYSA-N,COc1cc(COCCN2CCCC2)cc(OC)c1OC,1
YWJKCPKSXDQOAB-UHFFFAOYSA-N,COc1cc(COCCN(C)C)cc(OC)c1OC,1
YOSDTJYMDAEEAZ-UHFFFAOYSA-N,CC(=O)c1ccc(C)s1,1
LMINNBXUMGNKMM-UHFFFAOYSA-N,CN1c2ccccc2Sc2ccc(CC(=O)O)cc21,1
KVHMBHHFQISDGF-UHFFFAOYSA-N,NCCCN1c2cc(O)ccc2Sc2ccc(Cl)cc21,1
BECGZYKNPMWKFC-UHFFFAOYSA-N,CN(C)CCCN1c2cc(O)ccc2Sc2cc(O)c(Cl)cc21,1
ICKMASVVMCGZLR-UHFFFAOYSA-N,CC(=O)Oc1c(I)cc(I)cc1C(=O)Nc1ccc(Cl)cc1,0
UBZIFFSZSWUDDM-UHFFFAOYSA-N,COc1cc(COCCN)cc(OC)c1OC,1
OCJHCMZWHYSFPN-UHFFFAOYSA-N,Nc1ccc(O)ccc1=O,1
HUXKPGMUERDTKR-UHFFFAOYSA-N,O=c1oc2ccc(Cl)cc2n1CN1CCOCC1,0
SDHHZJUUIBWPPN-UHFFFAOYSA-N,CN(C)C1(C#N)CCCCC1,1
JILASYJQVXOLSP-UHFFFAOYSA-N,CN1CCCN(C)C1=S,1
FNTZFTBFBDSSGA-UHFFFAOYSA-N,CN1CCCCN(C)C1=S,1
BSVHATKBZZYYIC-UHFFFAOYSA-N,CN1CCCCN(C)C1=O,0
NMNAQZVZNGCDFU-UHFFFAOYSA-N,CC1(C)Oc2cc(O)ccc2C2=C1CCCC2,1
INDSXFNQCMKBOI-UHFFFAOYSA-N,CC1(C)Oc2cc(O)cc(O)c2C2=C1CCCC2,1
HVPGANLUVNQMME-UHFFFAOYSA-N,CC1(C)Oc2cc(O)c(Cl)cc2C2=C1CCCC2,1
LTKDQQKMLKFYNJ-UHFFFAOYSA-N,CCCCCCc1cc2c(cc1O)OC(C)(C)C1=C2CCCC1,1
ZFWYZPJOMMIRAM-UHFFFAOYSA-P,Cc1cc2c3ccccc3[n+]1CCCCCCCCCC[n+]1c(C)cc(c3ccccc31)NCCCCCCCCCCN2,1
MQDPBSVJRDMZSU-UHFFFAOYSA-N,C=CCN(CC(N)=O)c1ccccc1,1
SAADBVWGJQAEFS-UHFFFAOYSA-N,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0
QDIJKTNDTUWSER-UHFFFAOYSA-N,O=c1oc2ccc(Cl)cc2n1CN1CCCC1,1
RHAXSHUQNIEUEY-UHFFFAOYSA-N,COc1cc(C)nc(-n2nc(C)cc2OC)n1,0
MROJXXOCABQVEF-UHFFFAOYSA-N,CC(=O)Nc1ccc(CC(=O)O)cc1,0
KMOVXPOORWLEPL-UHFFFAOYSA-N,COc1ccccc1OCC(COC(=O)c1cccnc1)OC(=O)c1cccnc1,0
RLFFWWKJSJOYMQ-UHFFFAOYSA-N,O=C1NCCCCN1,0
POXFXLAMAIJLDM-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)Nc2cccc[n+]2[O-])cc1,0
HNNGEOOMYNAEGA-UHFFFAOYSA-N,CSCCn1c(=O)oc2ccc(F)cc21,0
LHTWZQAREYKQEG-UHFFFAOYSA-N,CN(C)C(=O)n1c(=O)oc2ccccc21,0
VODSBZGECUUVAS-UHFFFAOYSA-N,NC(=O)OCCCn1c(=O)oc2ccccc21,0
BMKFKTFCOJPUGR-UHFFFAOYSA-N,C#CCn1c(=O)oc2ccccc21,1
JJDFRWUDJCZOMW-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)N1CCCn1c(=O)oc2cc(Br)c(Cl)cc21,0
ULPCVUWMPUNJQU-UHFFFAOYSA-N,CCN(CCBr)Cc1ccc(Cl)cc1,1
KANJSWOVFIVFDI-UHFFFAOYSA-N,O=C1C=C(I)C(=O)C(I)=C1,1
KNMZETOZKQXYFY-UHFFFAOYSA-N,OCCc1ccccc1-c1ccccn1,0
QFAVBLKMVBLZHV-UHFFFAOYSA-N,NCCCCCNCCSP(=O)(O)O,0
WMIAQXWVZFAYQL-UHFFFAOYSA-N,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1S(=O)(=O)c1ccccc1,0
ZVVFIXFTAITHQK-UHFFFAOYSA-N,Oc1c(Cl)c(Cl)c(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,1
KNVIWKFOCCEBOC-UHFFFAOYSA-N,CN1CCN(CN2C(=O)NC(c3ccccc3)(c3ccccc3)C2=O)CC1,1
QVYXDGUCDAMORO-UHFFFAOYSA-N,S=C1NC(c2ccccc2)(c2ccccc2)C(=S)N1CN1CCOCC1,0
BRHXMUYKBFOAAE-UHFFFAOYSA-N,CSC1=NC(c2ccccc2)(c2ccccc2)C(=O)N1CN1CCOCC1,0
CFOQGBUQTOGYKI-UHFFFAOYSA-N,N=C(N)Nc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,1
VZQHGUSHUGPARZ-UHFFFAOYSA-N,COc1ccc2c(c1O)N(CCCN(C)C)c1cc(Cl)ccc1S2,1
WMKNOQCAEUTEEI-UHFFFAOYSA-N,NCCCCSS(=O)(=O)O,1
ULFADZCQQPUNCM-UHFFFAOYSA-N,NCCCCCSS(=O)(=O)O,1
FVAITYGYNLHBDF-UHFFFAOYSA-N,NCCCCCCSS(=O)(=O)O,1
UZCJGDSQAFVBCG-UHFFFAOYSA-N,CN1CCN(CN2C(=O)C(c3ccccc3)(c3ccccc3)NC2=S)CC1,1
QMJXMZSJIGAVQX-UHFFFAOYSA-N,COc1cc(C(=O)N2CCCCCC2)cc(OC)c1OC,0
WTRGRISRPKBFIM-UHFFFAOYSA-N,Cc1nsc(Cl)c1C(=O)N1CCOCC1,1
VIWPFHJCPBDCTB-UHFFFAOYSA-N,Cc1nsc(Cl)c1C(=O)OCCN(C)C,1
MCNVGCWBRVMJKE-UHFFFAOYSA-N,NS(=O)(=O)c1csc(S(N)(=O)=O)c1,0
MYGOAWSTBUIRKA-UHFFFAOYSA-N,NS(=O)(=O)c1cc(S(N)(=O)=O)c(Cl)s1,1
LSNYUHIYIPLFNS-UHFFFAOYSA-N,C=CCN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,1
VNPHYBXISGDJBH-UHFFFAOYSA-N,O=C(CCl)NCCCNC(=O)CCl,1
DAVOTJLHZIPOBO-UHFFFAOYSA-N,Cc1ccccc1OCc1coc(=O)[nH]1,0
FVHNIWSSACDLBF-UHFFFAOYSA-N,CCNC1(C#N)CCCCC1,1
BFONNRLSLNCPJF-UHFFFAOYSA-N,N#CC1(N2CCCC2)CCCCC1,1
LXTYGFRBBFCHJX-UHFFFAOYSA-N,O=C(OCCN1CCCOCC1)C(c1ccccc1)c1ccccc1,1
CHSYANTYCNLRSL-UHFFFAOYSA-N,CCN(CC)CCOC(=O)c1c(C)nsc1Cl,0
YFNCATAIYKQPOO-UHFFFAOYSA-N,CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC,0
XHSYJYUUWKZQOW-UHFFFAOYSA-N,O=c1ccc(-c2ccccc2)nn1CCO,1
WOQMZUMEAUMDOO-UHFFFAOYSA-N,O=c1[nH]nc(-c2ccccc2)s1,0
BATBOVZTQBLKIL-UHFFFAOYSA-N,CC(C)=CCC(OC(=O)C=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,1
KIIQPJPWSJBTGN-UHFFFAOYSA-N,CC(=O)n1c(=O)oc2ccccc21,0
UVDQDNQWGQFIAO-UHFFFAOYSA-N,COc1ccc2c(c1OC)CC1c3c(cc4c(c3-2)OCO4)CCN1C,1
HPWXYMIPHGLDLX-UHFFFAOYSA-N,CC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
CXQGFLBVUNUQIA-UHFFFAOYSA-N,CN(C)C(=O)CCCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0
KAMCBFNNGGVPPW-UHFFFAOYSA-N,C=CS(=O)(=O)COCS(=O)(=O)C=C,1
PDLWQTVMGHECQL-UHFFFAOYSA-N,CNC(=O)N1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,1
ZTBGCDFKOGILGZ-UHFFFAOYSA-N,COc1cc2ccn3cnnc3c2cc1OC,1
BICDWBFMGBHOJG-UHFFFAOYSA-N,Cc1c(NS(=O)(=O)CCN)c(=O)n(-c2ccccc2)n1C,0
FWAWELGQRMERND-UHFFFAOYSA-N,CCN(CCN(C)C)c1ccccc1,1
YKLHWMNKDGZBAX-UHFFFAOYSA-N,O=C1C(=O)N(C(=O)c2ccccc2)c2ccccc21,0
FVSUDTLZWVZJBF-UHFFFAOYSA-N,COc1cc2ccn3c(C)nnc3c2cc1OC,0
XVXAUTLBDZGRCG-UHFFFAOYSA-N,Cc1ccc(C(=O)CCN2CCN(c3ccccc3)CC2)cc1,0
IMIFOMXUSVHDSM-UHFFFAOYSA-N,COc1ccccc1CN1CCOCC1,1
JDSQMELORMMNLL-UHFFFAOYSA-N,O=c1nc(-c2cc(Cl)ccc2Cl)[nH]c(=O)[nH]1,0
YRXONVDHHSMUDU-UHFFFAOYSA-N,N=C(N)Nc1ccnc(NC(=N)N)n1,1
NCRMXGONWCWVSY-UHFFFAOYSA-N,Cc1cnc(NC(=N)N)nc1NC(=N)N,1
WLOGRANXQCUIPF-UHFFFAOYSA-N,NCCS(=O)(=O)N1CCCCC1,1
KGPQKNJSZNXOPV-UHFFFAOYSA-N,O=c1cc(O)c1=O,1
OGGVYFZQKOAMSL-UHFFFAOYSA-N,CN(C)c1ccc(=O)n(-c2ccccc2)n1,1
BVPMMHIYXMVPKJ-UHFFFAOYSA-N,O=c1ccc(-c2ccccc2)nn1CO,1
RJYQLMILDVERHH-UHFFFAOYSA-N,CC(O)CCC(=O)c1ccoc1,1
HBPDKDSFLXWOAE-UHFFFAOYSA-N,CNC(=O)N(C)c1nnc(C(C)(C)C)s1,0
PLAGADAOXYZAML-UHFFFAOYSA-N,O=C(COc1ccc(Cl)cc1)OCCN1CCOCC1,0
SNFONUQYPBCAIH-UHFFFAOYSA-N,Nc1ccc(N)c(=O)cc1,1
OOTGVNOBTIPORR-UHFFFAOYSA-N,O=C(COc1ccc(Cl)cc1)OCCN1CCCOCC1,0
MIWRSUQXSCLDNV-UHFFFAOYSA-N,CSc1nc(=O)c(C(C)(C)C)n[nH]1,1
AZNDXYXXGIGVCZ-UHFFFAOYSA-N,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
BTGNTTUJFLLIOF-UHFFFAOYSA-N,CCN(C)c1ccc(=O)n(-c2ccccc2)n1,1
GIUIBIOEEACCSK-UHFFFAOYSA-N,O=c1ccc(N2CCOCC2)nn1-c1ccccc1,0
